season_epi_code,pitched_business_identifier,pitched_business_desc,deal_status,deal_shark,deal,description,episode,category,entrepreneurs,location,website,asked_for,exchange_for_stake,valuation,season,shark1,shark2,shark3,shark4,shark5,title,episode_season,multiple_entrepreneurs
608,Bottle Breacher,"beer bottle openers made from 50 caliber bullets . Do you or someone you know have issues opening bottles with style? Bottle Breachers can help fix that with their handcrafted 50 caliber bottle openers. Not only do they look cool on their own, but they can look even better with some personalized engraving.",1,KOL+MC,True,"Bottle Breacher takes the same 50-caliber ammunition used to defend our country nad turns them into bottle openers. Crafted by US Active Duty service members and Veterans, Bottle Breacher is an original and memorable gift. Use it for promotional gifts, decorative display, and of course, cracking open a bottle!",8.0,Novelties,Jen and Eli Crane,"Tucson, AZ",https://www.bottlebreacher.com/,150000.0,10.0,1500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Bottle Breacher,6-8,True
608,Man-Pack,"a multipurpose messenger bag for men . Men, do you wish you had a manly bag that you could use to hold all of your daily essentials? Man-Pack is your answer. Itâ€™s a multipurpose messenger bag for men.  Man-Packs are available in either canvas or leather. They are designed to hold a laptop or tablet, a water bottle, flashlights, pens, and other various items.",0,,,,,,,,,,,,,,,,,,,,
608,Priority One Canine,professionally trained canine bodyguards . Ever wished you could have a bodyguard to protect you and your loved ones? Priorty One Canine offers professionally trained canine bodyguards. The dogs are not simply guard dogs but are well-trained family pets.  ,0,,False,Priority One Canine provides highly trained house pets that serve as security protection and loyal companions for the family.,8.0,Professional Services,Wade and Lori Morrell,"Pickerington, OH",http://www.priority1canine.com/,75000.0,15.0,500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Priority One Canine,6-8,True
608,The Natural Grip,a hand grip designed to help the user better handle fitness equipment . Natural Grips were designed to protect your palms from rips when lifting weights and crossfit training. The grips are made from a 100% zinc oxide cotton tape and are available in a variety of sizes and colors. a hand grip designed to help the user better handle fitness equipment,1,RH,True,"The Natural Grip makes the best-fitting hand grips for protecting your hands during workouts. Unlike the competition, The Natural Grip is not a one-size-fits-all product. These grips were created by fitness enthusiast and active duty officer Ashley Drake. The Natural Grip provides protection from torn hands and blisters without the bulk the alternatives. Snugly fitted to your hand, based on your ring finger size, the Natural Grip hooks over your ring and middle fingers and drapes down the palm of your hands.",8.0,Fitness Apparel and Accessories,Ashley Drake,"Louisville, KY",http://www.thenaturalgrip.com,100000.0,20.0,500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,The Natural Grip,6-8,False
607,Bottle Bright,an effervescent tablet for cleaning water bottles and other drinking containers ,1,LG,False,"Bottle Bright is the solution to grimy water vessels everywhere. Rather than struggling with a brush, which doesn't remove germs, or using harsh chemicals that leave their own harmful residues, you could be using Bottle Bright tablets, which freshen your water bottle with a quick soak. These tablets are made with all-natural ingredients and easily rid your water bottle from odors, stains and grime. Bottle Bright also has a social mission. For every bag of Bottle Bright tablets purchased, the company donates an equal amount of tablets to people in developing countries, where the lack of clean water and water containers frequently poses serious risks. who are in need of safe and clean drinking water. The Bottle Bright formula is chlorine-free and certified safe, natural, and sustainable.",14.0,Storage and Cleaning Products,Justin Koehneke and Seth Friedman,"Richmond, VA",http://www.cleanethics.com,75000.0,15.0,500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Bottle Bright,6-14,True
607,Evrewares,"reusable fabric sticker accessories such as humorous ties . Conceived from a mix passion for art and innovation (and admittedly some red wine),  are the Worldâ€™s First Sticky Accessory to the Plain White Tee. Far from a traditional stricker, evREwares are durable, reusable, interchangeable and do not leave any left-over sticker residue when removed. They are easy to take off and put right back on for creative repositioning. evReware ties come in a variety of stickers perfect for babys, kids and adults alike!",1,MC,,,,,,,,,,,,,,,,,,,
607,Scratch & Grain Baking Co.,"kits with premeasured natural ingredients for making homemade cookies . Started by an unfortunate baking experience involving a mom, her kids and cookies that tasted like cardboard, Scratch & Grain Baking Company offers baking kits for amazingly delicious treats.  contain all-natural and GMO-Free ingredients. Most of these ingredients are certified organic and kids wonâ€™t even taste the difference because they are that good. Some of the Scratch and Grain baking kit flavors include Chocolate Chip, Classic Sugar, Oatmeal Raisin, Snicker Doodle, Chocolate Truffle and Chewy Peanut Butter!",1,BC,True,"Scratch & Grain Baking Co. makes the most wholesome and delicious cookie mixes on the planet. These cookie kits bring together the best elements of baking from scratch and the convenience of using prepackaged mixes. Unlike the typical baking mixes from big brands that you might be used to seeing at the grocery store, each ingredient in Scratch and Grain Co. mixes come individually packaged within the box. You get the wonderful flavor of baked-from-scratch cookies and the satisfaction that the ingredients are fresh and all-natural. Scratch and Grain Co. offers a number of different cookie mixes, including Chocolate Chip, Sugar Cookie, and Oatmeal Raisin. They have also introduced three gluten-free mixes: Chocolate Truffle, Snicker Doodle, and Chewy Peanut Butter.",14.0,Specialty Food,Leah Tutin and Taya Geiger,"Portland, OR",http://www.scratchandgrain.com,150000.0,20.0,750000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Scratch & Grain Baking Co.,6-14,True
607,Vestpakz,"a combination backpack and vest for schoolchildren . Vestpakz, an innovative and quality back pack was originally invented by an inspired Sixth Grader, Christen Wooley about 15 years ago. Vestpakz saves space and protects your back even more importantly. They are perfect for school or plain recreational fun. The Vestpak is licensed by  back pack and comes equipped with two front zippered pockets and side slip pockets. It is lightweight and the fabric is water fabric. A really cool product created by an American young mind!",0,,False,Kids' backpacks in the form of vests with pockets all around to distribute the load.,14.0,Baby and Child Care,Arthur Grayer and Michael Wooley,"Suwannee, GA",http://www.vestpakz.com,50000.0,10.0,500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Vestpakz,6-14,True
606,FunCakes Rental,fake wedding cakes . fake wedding cakes,0,,,,,,,,,,,,,,,,,,,,
606,Paper Box Pilots,"decorative stickers to make cardboard boxes look like vehicles . It really it true that all kids can have fun with a cardboard box. The possibilities are endless. Paper Box Pilots expands on this ideaÂ with their cardboard kits (includes box, stickers, guide and plans) that build out to look like a realÂ airplane, firetruck and race car. Your kids will love it.",1,KOL,True,"Paper Box Pilots is a line of stickers that give flight to kids' imaginations. With these sticker kits, children can turn any regular cardboard box into make-believe airplaines, race cars, fire engines, and more. Paper Box Pilots is a nostalgically simple and inexpensive way to encourage hours of creative play in young ones.",4.0,Toys and Games,,"Roy, UT",http://www.paperboxpilots.com,35000.0,25.0,140000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Paper Box Pilots,6-4,False
606,Reviver,"freshening wipes for masking odors on clothing . Reviver offers freshening wipes for masking odors on clothing from the likes of smoking, that morning workout, and lunch at the Fish House. These wipes are for your clothes what gum is for your breath. Reviver also has wipes available for household pets that donâ€™t take too kindly to bath time.",1,LG,True,"Reviver Clothing Swipes are like deodorant for your clothes. These reusable and environmentally-friendly swipes keep your clothes smelling fresh while between washes. Made in the USA, Reviver swipes are the perfect solution for those favorite pieces that you can't tear yourself away from. By potentially prolonging the time between washes, Reviver can also encourage more efficient consumption of water resources for laundry.",4.0,Personal Care and Cosmetics,Ben and Eric Kusin,"Dallas, TX",http://www.reviver.com,150000.0,5.0,3000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Reviver,6-4,True
606,Table Jacks,a way to fix wobbly tables . a way to fix wobbly tables,0,,,,,,,,,,,,,,,,,,,,
605,Jungle JumpaRoo,"a play structure for kids . Jungle Jumparoo is that backyard play structure that all the kids in the neighborhood gravitate to. Perfect for all ages to climb, swing, bounce and jump all at the same time, the Jungle Jumparoo has a safe sturdy base and encourages fun exercise for children. 10 minutes jumping on this thing is the equivalent to 33 minutes running.",0,,,,,,,,,,,,,,,,,,,,
605,SunStaches,"novelty sunglasses with attached facial accessories . Got a party to attend, but want to hide your everyday identity â€“ Sun Staches has what you need â€“ sunglasses with mustaches â€“ novelty sunglasses with attached facial accessories.",1,DJ,,,,,,,,,,,,,,,,,,,
605,The Caddy Girls,a company that provides all-female golf caddys . a company that provides all-female golf caddys,0,,False,"The Caddy Girls offers a unique and fun way to spend a day on the links with female caddies who know about all aspects of golf, from club selection and course etiquette, to calculating distances and keeping score.",5.0,Entertainment,Meghan Tarney,"Myrtle Beach, NC",http://thecaddygirls.com/,100000.0,20.0,500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,The Caddy Girls,6-5,False
605,The Red Dress Boutique,"an online mail-order service for afforable, fashionable outfits . an online mail-order service for afforable, fashionable outfits",1,MC+RH,True,"The Red Dress Boutique is an online retailer of affordable fashions for young women and teens. This family-owned business retails most items for under $50 because their goal is to make great style accessible. You shouldn't have to be rich to dress well and feel beautiful. The Red Dress Boutique radiates happiness and seeks to share that optimism with their customers. Founder Diana Harbour started out giving each piece for sale on the website an eye-catching and memorable name, and her focus on building the brand's image and tone has contributed to the site's growth and success.",5.0,Women's Apparel,Josh and Diana Harbour,"Athens, GA",http://thereddressboutique.com/,600000.0,5.0,12000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,The Red Dress Boutique,6-5,True
604,BeatBox Beverages,"an innovative brand of box wine . Beatbox is an innovative, vibrant wine based cocktail compacted into a nifty old school boom box looking thing. Made with orange wine,Â each BeatBox contains over 7 bottles worth of mixed drink. It comes in Blue Razzberry Lemonade, Crandberry Limeade, Box Aâ€™Rita and Texas Sweet Tea flavors. Letâ€™s get this party started.",1,MC,True,Inexpensive and creatively-flavored box wine.,6.0,Alcoholic Beverages,"Brad Schultz, Aimy Steadman, and Justin Fenchel","Austin, TX",http://www.beatboxbeverages.com/,200000.0,10.0,2000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,BeatBox Beverages,6-6,True
604,EmergenSee,a personal security system smartphone app . a personal security system smartphone app,0,,False,"EmergenSee turns your smartphone or tablet into a personal security system with the push of a button. When activated, the app streams live video, audio, and tracks location and movements using GPS in real time to emergency responders and pre-selected contacts.",6.0,Home Security Solutions,Phil Reitnour and Jason D. Friedberg,"San Francisco, CA",http://emergensee.com/,250000.0,10.0,2500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,EmergenSee,6-6,True
604,Honeyfund,a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts . a crowdfunding service that allows wedding guests to donate money toward the honeymoon trip rather than purchase traditional gifts,1,KOL,True,"Honeyfund is a gifting platform for newlyweds who are less interested in acquiring home appliances than they are into funding their travel dreams. The funding duo is a married couple that used their wedding registry to fund their honeymoon plans, and so they developed their home-grown system into something anyone could sign up for. As a company, they are also working to roll out additional crowdgifting platforms for other occassions, like graduations and baby showers.",6.0,Weddings,Sara and Josh Margulis,"Sebastopol, CA",http://www.honeyfund.com/,400000.0,10.0,4000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Honeyfund,6-6,True
604,Oilerie USA,a chain of specialty olive oil stores . a chain of specialty olive oil stores,0,,,,,,,,,,,,,,,,,,,,
603,DrumPants,"touch sensors you wear on your body that play music . With touch sensors you wear on your body, DrumPants is wearable technology that triggers over 100 built-in sounds including percussion, synthesizers, pianos and more.Â Jam anywhere with your headphones or external speakers and record your beats via apps like Loopy. Use DrumPants to play music in new ways and change the way you interact while out in the world today!",0,,False,"A wearable controller that allows the user to play music, control smartphones and tablets, and interact with over 300 mobile and desktop apps",3.0,Music,,"San Francisco, CA",https://legacy.trycelery.com/shop/drumpants,150000.0,5.0,3000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,DrumPants,6-3,False
603,Heart Pup,"a wearable sling for carrying a dog . Heart Pup is a fashionable, convenient and wearable scarf sling made from Italian cashmere wool. The dog sling comes with ergonomic wide knit fabric straps on both shoulders and holds your pet handsfree up to 26 pounds. With a Heart Pup dog carrier, take your best animal friend out and about with you where ever you go.",1,DJ,True,"A sling and dog carrier tote hybrid, HeartPUP allows the user to carry pets handsfree and comfortably while making a fashion statement.",3.0,Pet Products,Anastasia Heart,"Los Angeles, CA",http://www.heartpup.com/,25000.0,10.0,250000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Heart Pup,6-3,False
603,Ninja Cards,a game similar to darts that uses special throwing cards . Like darts? Like Ninjas? Well then do we have the perfect recreational activity for you. Ninja Cards is an addictive target card throwing game that is fun for all ages. The game comes with one 24Ã—24 board and one pack of 15 throwing cards.,0,,False,"Move over, dartboards, Ninja Cards are here! Ninja Cards are a fun card-throwing game resembling darts but more satifying, because who doesn't like to pretend being a ninja? Created by two friends who had a flash of inspiration while toying around with hotel key cards, the Ninja Cards game includes thick plastic cards and a target.",3.0,Toys and Games,,"Chicago, IL",http://www.ninjacards.com/,60000.0,30.0,200000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Ninja Cards,6-3,False
603,SoapSox,"plush toys that work as bath sponges . SoapSox washcloths are plush toys and the next generation of bath time washcloths for kids. Invented by two dads and approved by moms everywhere, your kids will have fun in the bath with these soft, vibrant and colorful animal characters and get clean at the same time. Great for the nervous little bathers.",0,,False,"SoapSox is more than a washcloth, it's a simultaneously whimsical and highly functional bathtime companion for little ones. The SoapSox collection of washcloths comes in a range of adorable characters, from colorful marine animals to ducklings and baby dragons, all of them equally cuddly. An anti-microbial sponge makes up the interior, while on the outside the SoapSox are finished with the softest terry cloth exterior. Each character accepts bar or liquid soap in their mouth, and lathers up luxuriously once thoroughly wet.",3.0,Baby and Child Care,Ray Philips and Alvin Uy,"Los Angeles, CA",http://www.soapsoxkids.com/,260000.0,10.0,2600000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,SoapSox,6-3,True
602,Kronos,"premium golf putters . For all you golfers who happen to be Kill Bill fans, Kronos is like the Hattori Hanzo of golf putters. For anyone else who doesnâ€™t get the reference, Kronos are beautifully designed, hand polished, premium built,  golf putters. They are assembled by the worldâ€™s finest craftsmen using only the best techniques with the highest quality materials. Not all putters are created equally.",1,RH,,,,,,,,,,,,,,,,,,,
602,Roominate,"a construction set toy . Roominate is a brain stimulating, award winning toy perfect for aspiring young kids who love to learn and have fun. ItÂ is affiliated with STEM, touching on critical thinking within the Science, Tech, Engineering and Math fields. Roominate is toted as an open-ended version of LEGOs.",1,LG+MC,True,"A line of toys that combines hands-on building, circuits, design, crafts, storytelling, and creativity.",2.0,Toys and Games,,"Palo Alto, CA",http://www.roominatetoy.com,500000.0,5.0,10000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Roominate,6-2,False
602,The Floating Mug Co.,"mugs and glasses with built-in coasters . Grand in idea yet simple and functional in design, The Floating Mug is aÂ smart mug that lets moisture roll down the side instead of building up liquid and spilling on you at the base. This is an absolute winner of a gift, especially for folks who have grown accustom to coffee spillage while on the go or at the office desk.",0,,False,A high-end porcelain mug with the integrated functionality of a coaster.,2.0,Novelties,,"Charlotte, NC",http://www.floatingmug.com,75000.0,15.0,500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,The Floating Mug Co.,6-2,False
602,Wedding Wagon,a van used as a mobile wedding chapel . a van used as a mobile wedding chapel,0,,False,A mobile wedding officiant franchise that brings the ceremony to the customer.,2.0,Weddings,,"Las Vegas, NV",http://www.weddingwagon.com,125000.0,20.0,625000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Wedding Wagon,6-2,False
601,Amber,a cellphone charging station . a cellphone charging station,0,,False,Amber is a mobile device charging station for public spaces where devices can be left to charge safely. It also gives owners a means to monetize the charging service that they have been providing for free.,1.0,Electronics,,"Washington, DC",http://www.theamber.co,200000.0,20.0,1000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Amber,6-1,False
601,Bombas,"quality athletic socks . Bombas are really REALLY comfortable and quite possibly the only socks youâ€™ll ever want to wear for the rest of your life. BombasÂ are offered in ankle and calf form and they come in different sizes. There is an assortment of colors and they are available for Men, Women and Kids.",1,DJ,True,Purpose-built and thoughtfully designed athletic-leisure socks with a mission to help those in need.,1.0,Undergarments and Basics,,"New York, NY",http://www.bombas.com,200000.0,5.0,4000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Bombas,6-1,False
601,Hammer & Nails,a masculine nail salon . a masculine nail salon,0,,False,"A nail shop for guys, providing hand and foot care in a masculine environment featuring oversized leather chairs, personal flat-screen TVs, premium sports channels, high-end headphones and complimentary beverages.",1.0,Personal Care and Cosmetics,,"Los Angeles, CA",http://www.hammerandnails-salon.com,200000.0,20.0,1000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Hammer & Nails,6-1,False
601,Sleeping Baby,"sleepwear for newborns that imitates the protection of the womb so they don't wake as easily . Any parent who has been through the rounds of raising a newborn knows how important swaddling a baby is. Swaddling isÂ the art of snugly wrapping a baby in a blanket for warmth and security, imitating their environment in the womb. Sleeping Baby is fantastic because itâ€™s swaddle-like, easy and wearable ready to go sleepwear.",1,DJ,True,"Creators of the Zipadee-Zip, a onesie that provides a cozy, womb-like sleeping environment that babies need, with the freedom to roll around safely and freely.",1.0,Baby and Child Care,,"Fort Worth, TX",http://www.sleepingbaby.com,200000.0,10.0,2000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Sleeping Baby,6-1,False
529,Baker's Edge,innovative baking pans and accessories ,0,,False,"Baker's Edge brings you the award-winning Edge Brownie Pan, which adds two chewy edges to every brownie in the pan! The patented design has one continuous chamber but much more edge than traditional pans. It also circulates air towards the center, which usually takes longer to bake, creating more even results throughout the pan. The Edge Brownie pan is made in the USA and includes a flexible nylon spatula. Of course, there's more, as the founding duo behind this brownie pan hasn't rested on their laurels since launching the Edge Brownie Pan in 2006. On Shark Tank, they also introduced their Better Muffin Pan, which reconfigures the 12 muffin cups into a new space-saving and mess-preventing arrangement. It won't add more edges to your muffins, but it does allow for more muffins to fit in your oven, and that alone makes it a win.",29.0,Kitchen Tools,Matthew and Emily Griffin,"Carmel, IN",http://www.bakersedge.com,400000.0,20.0,2000000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Baker's Edge,5-29,True
529,BZbox,collapsible storage boxes . collapsible storage box design,1,LG,,,,,,,,,,,,,,,,,,,
529,Foot Fairy,an iPad app which measures your child's foot size . an iPad app which measures your childâ€™s foot size,1,MC,True,"A free iPad app which effortlessly measures a child's feet, then connects them to an online store to easily find shoes that fit.",29.0,Online Services,Dr. Sylvie Shapiro and Nicole Brooks,"Los Angeles, CA",http://www.footfairy.com,75000.0,15.0,500000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Foot Fairy,5-29,True
529,Tie-Not,a water balloon filling and tying device . water balloon filler and tying device,0,,False,"Tie Not is a simple solution to an age old problem: how to quickly and easily tie water balloons without spilling. With Tie Not, the kids can tie their own water balloons, and without wasting any more precious playtime than necessary! The patented design of Tie Not allows anyone to seal their water balloons shut with a quick spin. The package includes a special filling nozzle, a knot-tying device, and some balloons to get you started! Made in the USA from recycled materials, this is a must-have accessory for a fun summer!",29.0,Toys and Games,,"Aurora, IL",https://www.tie-not.com,125000.0,10.0,1250000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Tie-Not,5-29,False
528,Bon Affair,a premium wine spritzer . a premium wine spritzer,1,MC,True,"Vice meets virtue with this new wine spritzer. Bon Affair blends California wine with purified sparkling water, and electrolytes to create a refreshing and effervescent beverage with 6.5% alcohol by volume and zero added sugar. With half the calorie content of regular wine, Bon Affair is a guilt-free companion for the beach or the pool. Bon Affair is available in crisp Sauvignon Blanc and in seductive Syrah.",28.0,Alcoholic Beverages,Jayla Siciliano,"Solana Beach, CA",http://www.bonaffair.com,150000.0,35.0,428571.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Bon Affair,5-28,False
528,Cinnaholic,custom gourmet cinnamon rolls . custom gourmet cinnamon rolls,1,Others,True,"Not a typical cinnamon roll shop, Cinnaholic treats are dairy-free, lactose-free, egg-free, cholesterol-free and a 100% vegan.",28.0,Specialty Food,Shannon Michelle Radke and Florian Radke,"Berkeley, CA",http://www.cinnaholic.com,200000.0,20.0,1000000.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Cinnaholic,5-28,True
528,Hargitt Marine Services,a treasure hunter who wants funding to salvage cargo from a sunken ship . a treasure hunter who wants funding to salvage cargo from a sunken ship,0,,False,"A company offering a range of marine services, including marine towing, diving, and treasure hunting.",28.0,Professional Services,,"Anacortes, WA",,250000.0,25.0,1000000.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Hargitt Marine Services,5-28,False
528,Oru Kayak,"a kayak that can be folded into a compact suitcase . This is not just any ordinary Kayak. Itâ€™s a foldable, portable Kayak that performs with the best of â€˜em. All you need is 5 minutes to take it from backpackÂ to a boat. Aside from its convenience, itâ€™s highly durable as well. The Oru is offered in two models. The Bay and the premium Bay+.",1,RH,True,"Love the outdoors but bummed about the prospect of storing enormous and clunky kayaks? Oru Kayak sells light-weight and foldable kayaks made from space-age materials. The company uses double-layered polypropylene, which is tough, resilient, and abrasion-resistant. The original Oru Kayak is 12 feet long and folds into a box measuring just 32x13x28 cubic inches, weighing in at just 26 pounds.",28.0,Outdoor Recreation,Anton Willis,"San Francisco, CA",http://www.orukayak.com,500000.0,12.0,4166667.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Oru Kayak,5-28,False
527,Angellift,facial lifting strips . facial lifting strips,1,LG,True,"AngelLift Dermastrips originated from a simple ""a-ha!"" moment: the realization that it wasn't just a coincidence that wearing braces helps to reduce fine lines and wrinkles. The founders of AngelLift set out the replicate that effect, and the result was AngelLift Dermastrips, a non-invasive, non-chemical way to lift wrinkles and sagging skin. Merely placing AngelLift Dermastrips under the lip for a short time causes the skin in your face to have a long-lasting response. The strip restores pressure that is lost as our gum lines naturally recede with age, and restoring this pressure for just a few minutes a day can quickly produce visible improvements in skin tightness and wrinkle reduction. AngelLift makes a fantastic Botox alternative that will lift wrinkles naturally while saving you money and visits to the doctor.",27.0,Personal Care and Cosmetics,,"San Diego, CA",http://www.angellift.com,500000.0,10.0,5000000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Angellift,5-27,False
527,HangEase,a folding plastic clothes hanger . a folding plastic clothes hanger,1,Others,True,A collapsible hanger that makes it easier to hang clothes and get them off the rack.,27.0,Storage and Cleaning Products,,"Plano, TX",http://www.hangease.com,80000.0,30.0,266667.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,HangEase,5-27,False
527,Susty Party,eco-friendly party supplies . eco-friendly party supplies,0,,False,"Disposable tableware that is compostable yet colorful, highly-functional, party-ready, and responsibly made in partnership with non-profit factories who employ and empower the visually impaired community.",27.0,Party Supplies,,"Brooklyn, NY",http://www.sustyparty.com,250000.0,10.0,2500000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Susty Party,5-27,False
527,The Bouqs Company,simplified floral bouquets . simplified floral bouquets,0,,False,The Bouqs Company ships fresh and sustainably-farmed flowers from two farms in Ecuador and California.,27.0,Consumer Services,,"Venice, CA",https://www.thebouqs.com,258000.0,3.0,8600000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,The Bouqs Company,5-27,False
526,Cerebral Success,"a brain supplement designed to enhance focus, memory, and mental energy . a brain supplement designed to enhance focus, memory, and mental energy",1,BC,True,"A ""brain supplement"" designed to enhance focus, memory, and mental energy.",26.0,Homeopathic Remedies,,"Provo, UT",http://cerebralsuccess.com,75000.0,20.0,375000.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Cerebral Success,5-26,False
526,Crio,a brewed drink made from cocoa beans . brewed drink made from cocoa beans,0,,,,,,,,,,,,,,,,,,,,
526,Mo's Bows,handmade bowties . handmade bowties,0,,False,Fun and fashionable bow ties designed by an enterprising 12-year old.,26.0,Men's Accessories,Moziah Bridges,"Memphis, TN",http://mosbowsmemphis.com,50000.0,20.0,250000.0,5.0,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Mo's Bows,5-26,False
526,Rugged Maniac,an obstacle race event . an obstacle race event,1,MC,,,,,,,,,,,,,,,,,,,
525,Fort Magic,a building and construction toy . a building and construction toy,0,,False,"Fort Magic is a fort-building kit invented to let children's imagination flourish. The kit provides a wealth of poles, connectors and accessory clips to build the best fort ever. A serious upgrade from childhood forts made from stray sticks and sheets, Fort Magic is a building toy unlike any other. Winner of Dr. Toy's Best Classic 2014 Toy Award in the category of Creativity, Construction, Educational Value and Activity Play.",25.0,Toys and Games,Erika Pope,"Sarasota, FL",http://fortmagic.com,75000.0,15.0,500000.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Fort Magic,5-25,False
525,iLumi,"a versatile home lighting system controlled from a smartphone . Toted as the worldâ€™s smartest lights, iLumi is pre-programmed LED lighting that can be screwed into any existing fixture and wirelessly controlled by phone app. iLumi allows you to really set the mood and customize the lighting for every setting type. Great features are its simulated sunrise and ability to sync to the beat of any music.",1,Others,True,"These light bulbs have smarts! ilumi makes LED light bulbs that are color-tunable. They screw into the socket like any normal lightbulb, but they can be controled from the free ilumi smartphone app. From your phone, you can adjust the brightness settings and the colors for as many bulbs as you have in your home. ilumi light bulbs can even be programmed to serve as sunrise alarm clocks, sync to music, and other fun features. As an added benefit, ilumi's LED technology is seven times more energy efficient than a regular light bulbs, and they are also durable, lasting up to 20 years.",25.0,Electronics,Swapnil Bora and Corey Egan,"Plano, TX",http://www.ilumi.co,350000.0,15.0,2333333.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,iLumi,5-25,True
525,Intelli-Stopper Technology,a wine bottle stopper with an indicator that shows if there is air inside . a bottle stopper with an indicator that shows if there is air inside,0,,,,,,,,,,,,,,,,,,,,
525,ZooBean,a subscription service for children's books . subscription service for childrenâ€™s books,1,MC,True,"Zoobean is a parent and educator's ultimate companion to encourage children's literacy and expose them to a range of reading materials. Created by a husband and wife duo with backgrounds in children's education, Zoobean uses data science to generate a ""SmartList"" of books. Zoobean also offers a curated service that delivers a specially selected book selection each month.",25.0,Baby and Children's Entertainment,,"Washington, DC",https://www.zoobean.com,250000.0,15.0,1666667.0,5.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,ZooBean,5-25,False
524,Fun Time Express,a trackless train ride for malls . a trackless train ride for malls,1,KOL+LG,,,,,,,,,,,,,,,,,,,
524,PowerPot,a cooking pot that generates electricity as you heat up water . a cooking pot that generates electricity as you heat up water,1,MC,,,,,,,,,,,,,,,,,,,
