season_epi_code,pitched_business_identifier,pitched_business_desc,deal_status,deal_shark,deal,description,episode,category,entrepreneurs,location,website,asked_for,exchange_for_stake,valuation,season,shark1,shark2,shark3,shark4,shark5,title,episode_season,multiple_entrepreneurs
627,PittMoss,an alternative to peat moss manufactured from recycled newspaper . Harvesting peat moss is an environmental task and disturbs wetlands. Pitt Moss is a recycled paper substitute that has been thoroughly tested in labs and real use to replace peat moss and save the wetlands.,1,KOL+MC+RH,True,"An environmentally-friendly alternative to peat moss made from recycled paper and a proprietary mix of organic additives. Using PittMoss instead of peat eliminates the need for chemical additives and controls for pH imbalances, insects, molds and weed seeds, and releases far less CO2 into the atmosphere.",25.0,Gardening,Mont Handley,"Pittsburgh, PA",http://pittmoss.com,600000.0,25.0,2400000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,PittMoss,6-25,False
626,Frameri,"eyeglasses with interchangeable lenses and frames . Frameri brings us interchangeable frames and lenses â€“ simply pop the lenses out of one frame and into the one you want to wear next! Never worry about having only one frame to wear â€“ now you can coordinate, look good and still see clearly.",0,,False,"Frameri answers the question, ""Why aren't your glasses as flexible as the rest of your wardrobe?"" With Frameri interchangeable frames and lenses, you can change your glasses as easily as you change your outfit. Now you can buy the optical or sun lenses with or without prescription and snap them into the frames you want, saving you money and removing the stress of feeling stuck in just one pair.",27.0,Men and Women's Accessories,Konrad Billetz and Kevin Habich,"Cincinnati, OH",https://frameri.com,150000.0,4.0,4285714.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Frameri,6-27,True
626,The Paleo Diet Foods,"a meal bar designed for consumers of the paleo diet . How do you support your Paleo diet if youâ€™re out and about, or exercising? The Paleo Bar was invented to help you get the benefits of the Paleo Diet in a convenient nutrition bar. Now you donâ€™t have to cheat or compromise while inconveniently away from your stash of food.",0,,False,"The Paleo Diet Bar is a nutrition bar that is gluten, soy, dairy and preservative free. It contains egg protein which is a source of all nine amino acids that can only be derived from food and has high concentrations of BCAAs, leucine, isoleucine and valine.",27.0,Specialty Food,Shauna Sledge,"Ft. Collins, CO",http://thepaleodietbar.com,150000.0,20.0,750000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,The Paleo Diet Foods,6-27,False
626,World Record Striper Company,"a rattle sinker that uses sound to attract fish, designed by the world record holder for the largest striped bass . Love to fish for Striped Bass? These amazing lures helped bag the World Record Striped Bass! These lures use sound to mimic crustaceans like baby lobsters, crabs, shrimp or crayfish to give you an extreme advantage to help you reel in the biggest fish youâ€™ve ever caught.",1,MC,True,"Started in 2011 by three-time world record Striped Bass angler Greg Myerson, the World Record Striper Company manufacturers and sells the same science-based fishing tackle Myerson used to land each of his monster fish. The company sells sinkers, floats, jigs and bucktails which incorporate Myerson's patent-pending Rattle sound that attracts big fish from a variety of species by mimicking the sound of one of the favorite foods: crustaceans.",27.0,Outdoor Recreation,Greg Myerson,"Westbrook, CT",http://www.worldrecordstripercompany.com,75000.0,20.0,375000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,World Record Striper Company,6-27,False
626,Zero Pollution Motors,"a compressed air car manufactured by Motor Development International . Want to cut down on car exhaust? Use the AirPod from Zero Pollution Motors. At under $10,000 it runs on compressed air and has a top speed of about 50 mph. Forget the golf cart, the AirPod is the new coolest way to travel. Could it have heat and AC too? At speeds of 20mph to 30mph, it can travel 100 miles per compressed air tank.",1,RH,True,"Zero Pollution Motors is launching the urban car of the future, the AIRPod. The AIRPod vehicle is the solution to urban pollution and urban mobility. With its small size, a tiny price, zero pollution, and a fun and futuristic design, AIRPod marks a turning point in the range of urban vehicles. It is a real breath of fresh air in cities and the prelude to travel without pollution.",27.0,Automotive,Ethan Tucker and Pat Boone,"New Paltz, NY",http://zeropollutionmotors.us,5000000.0,50.0,10000000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Zero Pollution Motors,6-27,True
625,Sunscreen Mist,"a booth for automated application of sunscreen . You seen photo booths, but now there is Sunscreen Booths! Sunscreen Mist allows you to get misted with sunscreen â€“ your choice of 15/30 spf, and bug repellent, tanning agent, or even aloe. One less thing to carry with you. Now when youâ€™re at the beach, you donâ€™t need to stand down wind from that woman who sprays a whole bottle of sunscreen mist.",0,,False,"Sunscreen Mist adds another point of access for sunscreen application in the form of spray stations and booths located at hotels, amusement parks, beaches, and other outdoors events. Rather than apply sunscreen from a bottle, customers can pay per use with a quick swipe of a credit card of a hotel key card. In a matter of seconds, the booths and spray stations provide an even application of sunscreen for the whole body.",28.0,Outdoor Recreation,Tony Fayne and Josh Kaplan,"Detroit, MI",http://www.sunscreenmist.com,400000.0,15.0,2666667.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Sunscreen Mist,6-28,True
625,SynDaver Labs,"synthetic human tissues and body parts for medical training and development . Thinking of becoming creepy? Well, now you can do it safely with artificial cadavers that are gross, creepy and realistic. And hey, you can even study medicine with them. So when youâ€™re friends find out youâ€™re a bit â€˜off kilterâ€™, you can just tell them your pre-med and donâ€™t want the stench of a dead body around â€“ totally norma.",1,RH,True,"SynDaver Labs makes synthetic body parts for use in medical education, which can replace the use of cadavers, live animals, and human patients in surgical training. SynDaver's models are highly sophisticated and realistic, and their flagship product, the SynDaver Synthetic Human is the only full-body surgical simulator. The Synthetic Human bleeds, breathes, and features hundreds of replaceable muscles, bones, organs, and other body parts.",28.0,Education,Dr. Christopher Sakezles,"Tampa, FL",http://syndaver.com,3000000.0,10.0,30000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,SynDaver Labs,6-28,False
625,You Kick Ass,"personalized, customizable action figures ",1,Others,True,"You can be an action figure, and You Kick Ass can make that happen! With just a photo of yourself or a friend, You Kick Ass makes a 3D-printed action figure, and will even give you an action hero name and super power.",28.0,Novelties,Keri Andrews and Alesia Glidewell,"Seattle, WA",http://www.youkickass.com,100000.0,10.0,1000000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,You Kick Ass,6-28,True
625,Zoom Interiors,an online interior design service . These 3 design ladies will help you transform your living space by learning about you. Itâ€™s almost like a match-making service where you get to figure out whatâ€™s best suited for you. But the girls donâ€™t come with the room.,1,Others,True,"Zoom Interiors is a virtual service for interior design that delivers personalized style at accessible price points. Users fill out a survey to give Zoom a sense for their style, then follow on with a free 15-minute telephone consultation. For just $150, customers can get a room designed with budgets starting as low as $1,000.",28.0,Online Services,"Beatrice Fischel-Bock, Madeine Fraser & Lizzie Grover","Philadelphia, PA",https://zoominteriors.com,100000.0,20.0,500000.0,6.0,Lori Greiner,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Mark Cuban,Zoom Interiors,6-28,False
624,Buck Mason,"a line of basic men's clothing manufactured in the USA . Buck Mason is an American-made clothing line that features clothes that are of a â€œTimeless Designâ€ and really Made in America. Priced less that many high-end â€œmade elsewhereâ€ clothes you find in the mall, Buck Mason in the 21st century gives you a classic clothing line, made entirely in the USA and at a decent price.",0,,False,Buck Mason makes high-quality men's clothing in the USA.,26.0,Men and Women's Apparel,Sasha Koehn and Erik Schnakenberg,"Los Angeles, CA",https://www.buckmason.com,200000.0,8.0,2500000.0,6.0,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Buck Mason,6-26,True
